audio_path,diary_label,model_label,start,end,score,verified
./split_diary/MYNBYT/T1/chunk_3/1.8 6.1 SPEAKER_03.wav,SPEAKER_03,NgocQuan,1.8,6.1,0.2675201892852783,True
./split_diary/MYNBYT/T1/chunk_3/7.5 10.1 SPEAKER_03.wav,SPEAKER_03,NgocQuan,7.5,10.1,0.26012352108955383,True
./split_diary/MYNBYT/T1/chunk_3/15.4 20.1 SPEAKER_03.wav,SPEAKER_03,NgocQuan,15.4,20.1,0.2931634187698364,True
./split_diary/MYNBYT/T1/chunk_3/27.1 28.4 SPEAKER_00.wav,SPEAKER_00,KieuGiang,27.1,28.4,0.10546708106994629,False
./split_diary/MYNBYT/T1/chunk_3/31.8 33.9 SPEAKER_00.wav,SPEAKER_00,DucAnh,31.8,33.9,0.07103857398033142,False
./split_diary/MYNBYT/T1/chunk_3/35.8 39.0 SPEAKER_00.wav,SPEAKER_00,NgocQuan,35.8,39.0,0.11720551550388336,False
./split_diary/MYNBYT/T1/chunk_3/49.2 58.0 SPEAKER_00.wav,SPEAKER_00,KieuGiang,49.2,58.0,0.1221013218164444,False
./split_diary/MYNBYT/T1/chunk_3/61.6 63.3 SPEAKER_00.wav,SPEAKER_00,DucAnh,61.6,63.3,0.08227907866239548,False
./split_diary/MYNBYT/T1/chunk_3/79.2 80.5 SPEAKER_00.wav,SPEAKER_00,DucAnh,79.2,80.5,0.25195571780204773,True
./split_diary/MYNBYT/T1/chunk_3/83.9 87.1 SPEAKER_00.wav,SPEAKER_00,BichNgoc,83.9,87.1,0.11821767687797546,False
./split_diary/MYNBYT/T1/chunk_3/88.6 89.7 SPEAKER_03.wav,SPEAKER_03,BichNgoc,88.6,89.7,0.0886334776878357,False
./split_diary/MYNBYT/T1/chunk_3/92.9 94.0 SPEAKER_03.wav,SPEAKER_03,DucAnh,92.9,94.0,0.2484477013349533,False
./split_diary/MYNBYT/T1/chunk_3/96.5 97.5 SPEAKER_03.wav,SPEAKER_03,DucAnh,96.5,97.5,0.23441533744335175,False
./split_diary/MYNBYT/T1/chunk_3/99.0 106.5 SPEAKER_03.wav,SPEAKER_03,DucAnh,99.0,106.5,0.4302530884742737,True
./split_diary/MYNBYT/T1/chunk_3/110.7 112.0 SPEAKER_03.wav,SPEAKER_03,NgocQuan,110.7,112.0,0.23620107769966125,False
./split_diary/MYNBYT/T1/chunk_3/120.5 121.9 SPEAKER_03.wav,SPEAKER_03,LeThoa,120.5,121.9,0.18327516317367554,False
./split_diary/MYNBYT/T1/chunk_3/122.7 125.6 SPEAKER_03.wav,SPEAKER_03,LeThoa,122.7,125.6,0.229544997215271,False
