audio_path,model_label,start,end
./concat_audio/MYNBYT/T1/chunk_1/4.5 to 9.4.mp3,NgocQuan,4.5,9.4
./concat_audio/MYNBYT/T1/chunk_1/10.4 to 11.7.mp3,NgocQuan,10.4,11.7
./concat_audio/MYNBYT/T1/chunk_1/13.0 to 14.1.mp3,NgocQuan,13.0,14.1
./concat_audio/MYNBYT/T1/chunk_1/53.1 to 54.5.mp3,NgocQuan,53.1,54.5
./concat_audio/MYNBYT/T1/chunk_1/60.7 to 62.7.mp3,LeThoa,60.7,62.7
./concat_audio/MYNBYT/T1/chunk_1/93.5 to 94.9.mp3,NgocQuan,93.5,94.9
./concat_audio/MYNBYT/T1/chunk_1/164.2 to 166.7.mp3,LeThoa,164.2,166.7
./concat_audio/MYNBYT/T1/chunk_1/182.6 to 184.4.mp3,KieuGiang,182.6,184.4
./concat_audio/MYNBYT/T1/chunk_1/186.3 to 188.0.mp3,DucAnh,186.3,188.0
./concat_audio/MYNBYT/T1/chunk_1/269.3 to 271.5.mp3,KieuGiang,269.3,271.5
