audio_path,model_label,start,end
./concat_audio/MYNBYT/T1/chunk_4/0.0 to 0.9.mp3,LeThoa,0.0,0.9
./concat_audio/MYNBYT/T1/chunk_4/71.2 to 73.3.mp3,LeThoa,71.2,73.3
./concat_audio/MYNBYT/T1/chunk_4/79.4 to 85.0.mp3,LeThoa,79.4,85.0
./concat_audio/MYNBYT/T1/chunk_4/92.1 to 95.2.mp3,LeThoa,92.1,95.2
./concat_audio/MYNBYT/T1/chunk_4/97.9 to 100.3.mp3,KieuGiang,97.9,100.3
./concat_audio/MYNBYT/T1/chunk_4/163.5 to 167.6.mp3,KieuGiang,163.5,167.6
./concat_audio/MYNBYT/T1/chunk_4/169.5 to 170.8.mp3,KieuGiang,169.5,170.8
./concat_audio/MYNBYT/T1/chunk_4/186.4 to 188.4.mp3,KieuGiang,186.4,188.4
./concat_audio/MYNBYT/T1/chunk_4/232.5 to 241.8.mp3,KieuGiang,232.5,241.8
./concat_audio/MYNBYT/T1/chunk_4/245.0 to 247.0.mp3,LeThoa,245.0,247.0
