audio_path,model_label,start,end
./concat_audio/MYNBYT/T1/chunk_2/0.7 to 1.6.mp3,NgocQuan,0.7,1.6
./concat_audio/MYNBYT/T1/chunk_2/4.4 to 5.6.mp3,NgocQuan,4.4,5.6
./concat_audio/MYNBYT/T1/chunk_2/15.0 to 24.9.mp3,KieuGiang,15.0,24.9
./concat_audio/MYNBYT/T1/chunk_2/24.9 to 37.3.mp3,NgocQuan,24.9,37.3
./concat_audio/MYNBYT/T1/chunk_2/38.3 to 40.0.mp3,KieuGiang,38.3,40.0
./concat_audio/MYNBYT/T1/chunk_2/45.9 to 47.1.mp3,KieuGiang,45.9,47.1
./concat_audio/MYNBYT/T1/chunk_2/55.7 to 58.4.mp3,KieuGiang,55.7,58.4
./concat_audio/MYNBYT/T1/chunk_2/62.2 to 64.2.mp3,BichNgoc,62.2,64.2
./concat_audio/MYNBYT/T1/chunk_2/77.0 to 82.5.mp3,NgocQuan,77.0,82.5
./concat_audio/MYNBYT/T1/chunk_2/155.7 to 158.9.mp3,LeThoa,155.7,158.9
./concat_audio/MYNBYT/T1/chunk_2/160.0 to 161.7.mp3,KieuGiang,160.0,161.7
./concat_audio/MYNBYT/T1/chunk_2/162.5 to 164.8.mp3,LeThoa,162.5,164.8
./concat_audio/MYNBYT/T1/chunk_2/166.6 to 173.8.mp3,KieuGiang,166.6,173.8
./concat_audio/MYNBYT/T1/chunk_2/178.6 to 182.3.mp3,KieuGiang,178.6,182.3
./concat_audio/MYNBYT/T1/chunk_2/186.2 to 194.1.mp3,LeThoa,186.2,194.1
./concat_audio/MYNBYT/T1/chunk_2/195.1 to 200.8.mp3,KieuGiang,195.1,200.8
./concat_audio/MYNBYT/T1/chunk_2/202.6 to 206.5.mp3,LeThoa,202.6,206.5
./concat_audio/MYNBYT/T1/chunk_2/209.3 to 210.8.mp3,KieuGiang,209.3,210.8
./concat_audio/MYNBYT/T1/chunk_2/213.1 to 219.5.mp3,LeThoa,213.1,219.5
./concat_audio/MYNBYT/T1/chunk_2/221.4 to 229.9.mp3,LeThoa,221.4,229.9
./concat_audio/MYNBYT/T1/chunk_2/231.9 to 239.7.mp3,NgocQuan,231.9,239.7
./concat_audio/MYNBYT/T1/chunk_2/241.5 to 247.4.mp3,KieuGiang,241.5,247.4
./concat_audio/MYNBYT/T1/chunk_2/248.0 to 252.4.mp3,LeThoa,248.0,252.4
