audio_path,model_label,start,end
./concat_audio/MYNBYT/T1/chunk_0/30.7 to 36.7.mp3,NgocQuan,30.7,36.7
./concat_audio/MYNBYT/T1/chunk_0/75.5 to 84.0.mp3,DucAnh,75.5,84.0
./concat_audio/MYNBYT/T1/chunk_0/84.7 to 86.0.mp3,BichNgoc,84.7,86.0
./concat_audio/MYNBYT/T1/chunk_0/86.6 to 89.9.mp3,DucAnh,86.6,89.9
./concat_audio/MYNBYT/T1/chunk_0/96.9 to 98.0.mp3,BichNgoc,96.9,98.0
./concat_audio/MYNBYT/T1/chunk_0/99.7 to 101.4.mp3,DucAnh,99.7,101.4
./concat_audio/MYNBYT/T1/chunk_0/108.5 to 109.9.mp3,DucAnh,108.5,109.9
./concat_audio/MYNBYT/T1/chunk_0/111.5 to 116.0.mp3,NgocQuan,111.5,116.0
./concat_audio/MYNBYT/T1/chunk_0/121.0 to 122.1.mp3,DucAnh,121.0,122.1
./concat_audio/MYNBYT/T1/chunk_0/124.2 to 132.1.mp3,DucAnh,124.2,132.1
./concat_audio/MYNBYT/T1/chunk_0/148.9 to 150.0.mp3,BichNgoc,148.9,150.0
./concat_audio/MYNBYT/T1/chunk_0/159.3 to 163.1.mp3,NgocQuan,159.3,163.1
./concat_audio/MYNBYT/T1/chunk_0/186.4 to 188.8.mp3,BichNgoc,186.4,188.8
./concat_audio/MYNBYT/T1/chunk_0/203.2 to 204.9.mp3,DucAnh,203.2,204.9
./concat_audio/MYNBYT/T1/chunk_0/209.4 to 212.7.mp3,DucAnh,209.4,212.7
./concat_audio/MYNBYT/T1/chunk_0/225.5 to 227.5.mp3,DucAnh,225.5,227.5
./concat_audio/MYNBYT/T1/chunk_0/232.4 to 233.8.mp3,DucAnh,232.4,233.8
./concat_audio/MYNBYT/T1/chunk_0/236.2 to 240.2.mp3,NgocQuan,236.2,240.2
./concat_audio/MYNBYT/T1/chunk_0/241.9 to 242.9.mp3,BichNgoc,241.9,242.9
./concat_audio/MYNBYT/T1/chunk_0/246.1 to 248.1.mp3,BichNgoc,246.1,248.1
./concat_audio/MYNBYT/T1/chunk_0/249.4 to 253.7.mp3,DucAnh,249.4,253.7
./concat_audio/MYNBYT/T1/chunk_0/253.9 to 255.5.mp3,BichNgoc,253.9,255.5
./concat_audio/MYNBYT/T1/chunk_0/270.1 to 271.8.mp3,DucAnh,270.1,271.8
./concat_audio/MYNBYT/T1/chunk_0/275.9 to 277.6.mp3,BichNgoc,275.9,277.6
