audio_path,diary_label,model_label,start,end,score,verified
../../data/split_diary/MYNBYT/T2/chunk_2/0.0 0.9 SPEAKER_00.wav,SPEAKER_00,BichNgoc,0.0,0.9,0.015063523314893246,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/6.7 8.4 SPEAKER_00.wav,SPEAKER_00,DucAnh,6.7,8.4,0.07494133710861206,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/8.5 10.9 SPEAKER_00.wav,SPEAKER_00,DucAnh,8.5,10.9,0.008186543360352516,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/13.9 16.9 SPEAKER_00.wav,SPEAKER_00,BichNgoc,13.9,16.9,0.07363734394311905,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/22.3 23.3 SPEAKER_00.wav,SPEAKER_00,BichNgoc,22.3,23.3,0.07559740543365479,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/24.2 26.7 SPEAKER_00.wav,SPEAKER_00,DucAnh,24.2,26.7,0.05692936107516289,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/27.0 28.6 SPEAKER_00.wav,SPEAKER_00,BichNgoc,27.0,28.6,0.12690672278404236,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/28.9 30.1 SPEAKER_00.wav,SPEAKER_00,DucAnh,28.9,30.1,0.08996347337961197,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/34.9 38.9 SPEAKER_00.wav,SPEAKER_00,BichNgoc,34.9,38.9,0.0739838108420372,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/40.7 42.6 SPEAKER_00.wav,SPEAKER_00,BichNgoc,40.7,42.6,0.10042949765920639,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/43.6 45.3 SPEAKER_00.wav,SPEAKER_00,DucAnh,43.6,45.3,0.05631635710597038,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/49.6 53.1 SPEAKER_00.wav,SPEAKER_00,BichNgoc,49.6,53.1,0.07940379530191422,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/54.9 62.1 SPEAKER_00.wav,SPEAKER_00,BichNgoc,54.9,62.1,0.046892087906599045,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/62.6 66.0 SPEAKER_00.wav,SPEAKER_00,BichNgoc,62.6,66.0,0.05790617689490318,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/67.2 70.2 SPEAKER_00.wav,SPEAKER_00,DucAnh,67.2,70.2,0.04307011887431145,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/70.8 74.5 SPEAKER_00.wav,SPEAKER_00,DucAnh,70.8,74.5,0.04699936509132385,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/74.8 77.3 SPEAKER_00.wav,SPEAKER_00,BichNgoc,74.8,77.3,0.02625828981399536,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/77.6 79.4 SPEAKER_00.wav,SPEAKER_00,BichNgoc,77.6,79.4,0.040438827127218246,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/79.6 85.4 SPEAKER_00.wav,SPEAKER_00,BichNgoc,79.6,85.4,0.11821559071540833,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/89.5 91.5 SPEAKER_00.wav,SPEAKER_00,DucAnh,89.5,91.5,0.08035680651664734,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/93.7 98.1 SPEAKER_00.wav,SPEAKER_00,DucAnh,93.7,98.1,0.03168425336480141,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/99.1 100.3 SPEAKER_00.wav,SPEAKER_00,BichNgoc,99.1,100.3,0.048781707882881165,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/101.5 104.9 SPEAKER_00.wav,SPEAKER_00,DucAnh,101.5,104.9,0.051930129528045654,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_2/107.2 109.0 SPEAKER_00.wav,SPEAKER_00,BichNgoc,107.2,109.0,0.08695579320192337,tensor([False])
