audio_path,diary_label,model_label,start,end,score,verified
../../data/split_diary/MYNBYT/T2/chunk_1/7.0 8.2 SPEAKER_00.wav,SPEAKER_00,DucAnh,7.0,8.2,0.038496509194374084,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/8.7 14.8 SPEAKER_00.wav,SPEAKER_00,BichNgoc,8.7,14.8,0.04685055837035179,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/14.9 25.6 SPEAKER_00.wav,SPEAKER_00,DucAnh,14.9,25.6,0.05977916345000267,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/27.3 28.3 SPEAKER_00.wav,SPEAKER_00,BichNgoc,27.3,28.3,0.06292164325714111,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/36.9 38.0 SPEAKER_00.wav,SPEAKER_00,DucAnh,36.9,38.0,0.14126291871070862,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/40.2 43.2 SPEAKER_00.wav,SPEAKER_00,DucAnh,40.2,43.2,0.06714863330125809,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/48.9 51.1 SPEAKER_00.wav,SPEAKER_00,BichNgoc,48.9,51.1,0.056467410176992416,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/53.7 57.2 SPEAKER_00.wav,SPEAKER_00,DucAnh,53.7,57.2,0.008156145922839642,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/63.8 64.9 SPEAKER_00.wav,SPEAKER_00,BichNgoc,63.8,64.9,0.10909288376569748,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/66.2 68.0 SPEAKER_00.wav,SPEAKER_00,DucAnh,66.2,68.0,0.08998233824968338,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/69.1 70.2 SPEAKER_00.wav,SPEAKER_00,DucAnh,69.1,70.2,0.04747098684310913,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/71.2 72.8 SPEAKER_00.wav,SPEAKER_00,DucAnh,71.2,72.8,0.06263847649097443,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/73.0 76.4 SPEAKER_00.wav,SPEAKER_00,BichNgoc,73.0,76.4,0.006631529424339533,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/77.5 78.5 SPEAKER_00.wav,SPEAKER_00,BichNgoc,77.5,78.5,0.07251104712486267,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/78.8 80.7 SPEAKER_00.wav,SPEAKER_00,DucAnh,78.8,80.7,0.09682532399892807,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/93.3 95.2 SPEAKER_00.wav,SPEAKER_00,BichNgoc,93.3,95.2,0.07641655951738358,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/96.4 99.1 SPEAKER_00.wav,SPEAKER_00,BichNgoc,96.4,99.1,0.04632195830345154,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/102.2 104.2 SPEAKER_00.wav,SPEAKER_00,DucAnh,102.2,104.2,0.08129113912582397,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_1/104.6 107.1 SPEAKER_00.wav,SPEAKER_00,DucAnh,104.6,107.1,0.056158486753702164,tensor([False])
