,audio_path,model_label,start,end,script
0,./concat_audio/MYNBYT/T1/chunk_0/30.7 to 36.7.mp3,NgocQuan,30.7,36.7,dầu gội thái dương đã tốt dầu gội thái dương gold tốt hơn nhiều lần trải nghiệm dầu gội thái dương gold trải nghiệm sự hoàn hảo.
1,./concat_audio/MYNBYT/T1/chunk_0/75.5 to 84.0.mp3,DucAnh,75.5,84.0,vừa kiếm được một cái rót rất ngon luôn anh đã gửi mail phân công công việc cho từng đứa rồi check mail luôn đi mình có đúng một đêm nay để làm bản kế hoạch chi tiết truyền thông cho khách hàng.
2,./concat_audio/MYNBYT/T1/chunk_0/84.7 to 86.0.mp3,BichNgoc,84.7,86.0,leo chốt phải gửi lúc mấy giờ là tết.
3,./concat_audio/MYNBYT/T1/chunk_0/86.6 to 89.9.mp3,DucAnh,86.6,89.9,trước bảy giờ sáng mai có như thắng anh đã làm việc riêng với trợ lý bên họ rồi.
4,./concat_audio/MYNBYT/T1/chunk_0/96.9 to 98.0.mp3,BichNgoc,96.9,98.0,vẫn phải cố gắng ở thực lực chứ.
5,./concat_audio/MYNBYT/T1/chunk_0/99.7 to 101.4.mp3,DucAnh,99.7,101.4,thưởng nam nam chụp phần ngôn xuất sắc.
6,./concat_audio/MYNBYT/T1/chunk_0/108.5 to 109.9.mp3,DucAnh,108.5,109.9,vậy nguồn nợ công ty chưa trả đâu.
7,./concat_audio/MYNBYT/T1/chunk_0/111.5 to 116.0.mp3,NgocQuan,111.5,116.0,tôi sao biết em có thêm không anh làm ờ anh chờ em gì ạ ờ ngọc ơi.
8,./concat_audio/MYNBYT/T1/chunk_0/121.0 to 122.1.mp3,DucAnh,121.0,122.1,thôi tập trung.
9,./concat_audio/MYNBYT/T1/chunk_0/124.2 to 132.1.mp3,DucAnh,124.2,132.1,bây giờ tất cả các em hoàn thành phần việc của mình đúng hai tiếng nữa gửi gmail cho anh anh sẽ ở đây tổng hợp xử lý rồi gửi cho khách hàng anh em mình phải ăn chặt con điêu này.
10,./concat_audio/MYNBYT/T1/chunk_0/148.9 to 150.0.mp3,BichNgoc,148.9,150.0,em đây em đây.
11,./concat_audio/MYNBYT/T1/chunk_0/159.3 to 163.1.mp3,NgocQuan,159.3,163.1,bây giờ anh cho mày đúng ba mươi giây để trả lời đang ở đâu với ai làm gì.
12,./concat_audio/MYNBYT/T1/chunk_0/186.4 to 188.8.mp3,BichNgoc,186.4,188.8,tí xong việc ở đây nhá em sẽ về công ty làm việc tiếp cho anh.
13,./concat_audio/MYNBYT/T1/chunk_0/203.2 to 204.9.mp3,DucAnh,203.2,204.9,cháu định gọi cho cô để báo với cô là.
14,./concat_audio/MYNBYT/T1/chunk_0/209.4 to 212.7.mp3,DucAnh,209.4,212.7,à hôm nay a cái ngọc là phải tăng ca về muộn của.
15,./concat_audio/MYNBYT/T1/chunk_0/225.5 to 227.5.mp3,DucAnh,225.5,227.5,dạ vâng ạ cô yên tâm đi ngủ trước đi ạ.
16,./concat_audio/MYNBYT/T1/chunk_0/232.4 to 233.8.mp3,DucAnh,232.4,233.8,anh chiều mày quá nên mày hư đúng không.
17,./concat_audio/MYNBYT/T1/chunk_0/236.2 to 240.2.mp3,NgocQuan,236.2,240.2,anh nhận mày vào công ty không phải là để để nói dối mẹ xong rồi kiếm cớ đi chơi được nhá.
18,./concat_audio/MYNBYT/T1/chunk_0/241.9 to 242.9.mp3,BichNgoc,241.9,242.9,đây là lần đầu tiên mà.
19,./concat_audio/MYNBYT/T1/chunk_0/246.1 to 248.1.mp3,BichNgoc,246.1,248.1,em đi chơi bạn về tí em sẽ chặn israel cho anh.
20,./concat_audio/MYNBYT/T1/chunk_0/249.4 to 253.7.mp3,DucAnh,249.4,253.7,mẹ này mười hai giờ đấy nhá đúng mười hai giờ mà không gửi mail thì cô đừng có trách đấy.
21,./concat_audio/MYNBYT/T1/chunk_0/253.9 to 255.5.mp3,BichNgoc,253.9,255.5,vâng vâng vâng em biết rồi ạ.
22,./concat_audio/MYNBYT/T1/chunk_0/270.1 to 271.8.mp3,DucAnh,270.1,271.8,sao cô chọn ra chú xin học cho ế buổi liền.
23,./concat_audio/MYNBYT/T1/chunk_0/275.9 to 277.6.mp3,BichNgoc,275.9,277.6,thôi mình ăn nhanh đi còn việc không thi làm nữa.
