,audio_path,model_label,start,end,script
0,./concat_audio/MYNBYT/T1/chunk_5/1.1 to 4.5.mp3,KieuGiang,1.1,4.5,ngày về bao giờ đấy việc trong kia chưa giải quyết ngày một ngày hai được.
1,./concat_audio/MYNBYT/T1/chunk_5/8.0 to 9.3.mp3,KieuGiang,8.0,9.3,tốt cuộc việc nhà cửa.
2,./concat_audio/MYNBYT/T1/chunk_5/17.0 to 18.4.mp3,DucAnh,17.0,18.4,cả đêm qua anh chạy tết lai.
3,./concat_audio/MYNBYT/T1/chunk_5/25.9 to 27.1.mp3,KieuGiang,25.9,27.1,con ở công ty không về à.
4,./concat_audio/MYNBYT/T1/chunk_5/31.3 to 34.4.mp3,KieuGiang,31.3,34.4,thế mà vợ con nó bảo còn cái thế này thằng đức anh đâu.
5,./concat_audio/MYNBYT/T1/chunk_5/35.0 to 36.3.mp3,LeThoa,35.0,36.3,anh ấy đi làm từ tháng à mẹ.
6,./concat_audio/MYNBYT/T1/chunk_5/38.0 to 42.2.mp3,KieuGiang,38.0,42.2,chồng đi làm từ sáng mà vẫn còn ngủ không nỡ dậy mà nấu cho nó cái bữa sáng hở con.
7,./concat_audio/MYNBYT/T1/chunk_5/43.8 to 46.4.mp3,KieuGiang,43.8,46.4,không ăn sáng thì cả ngày đi làm chết đói.
8,./concat_audio/MYNBYT/T1/chunk_5/47.0 to 50.6.mp3,DucAnh,47.0,50.6,lúc đấy con hay đi về đêm xong vào sáng đi sớm chắc hân không biết.
9,./concat_audio/MYNBYT/T1/chunk_5/53.0 to 56.1.mp3,KieuGiang,53.0,56.1,chồng đi cả đêm không về vợ ngủ không biết gì.
10,./concat_audio/MYNBYT/T1/chunk_5/65.7 to 69.8.mp3,KieuGiang,65.7,69.8,chồng con đi làm đói khát cả đêm về đang tự úp mì ăn đây này.
11,./concat_audio/MYNBYT/T1/chunk_5/69.9 to 72.2.mp3,DucAnh,69.9,72.2,làm gì cũng đâu có đó làm gì đó khác đâu.
12,./concat_audio/MYNBYT/T1/chunk_5/74.1 to 76.4.mp3,KieuGiang,74.1,76.4,trước sáng anh đi làm con còn dậy mở cửa mà.
13,./concat_audio/MYNBYT/T1/chunk_5/84.5 to 85.9.mp3,KieuGiang,84.5,85.9,hay là đêm qua con đi đâu.
14,./concat_audio/MYNBYT/T1/chunk_5/87.7 to 90.3.mp3,KieuGiang,87.7,90.3,để đến nỗi đêm chồng con có về không con cũng không biết.
15,./concat_audio/MYNBYT/T1/chunk_5/94.2 to 103.2.mp3,KieuGiang,94.2,103.2,mẹ đi vắng có vài ngày mà nhà cửa đã như thế này chưa kể mấy cái chuyện mang cái xích từ đời nào đời nào ra khóa cổng sáng nay mẹ phải trèo cổng vào đấy.
16,./concat_audio/MYNBYT/T1/chunk_5/105.0 to 107.9.mp3,KieuGiang,105.0,107.9,con bật camera lia xem tối qua vợ con mấy giờ mới về.
17,./concat_audio/MYNBYT/T1/chunk_5/108.5 to 110.8.mp3,DucAnh,108.5,110.8,cái cái trích dắt ngoài cửa là.
18,./concat_audio/MYNBYT/T1/chunk_5/112.0 to 114.1.mp3,KieuGiang,112.0,114.1,vợ con nói là sáng nay mở cổng cho con đi làm.
19,./concat_audio/MYNBYT/T1/chunk_5/115.4 to 116.9.mp3,KieuGiang,115.4,116.9,con đừng có bên vợ con nữa.
20,./concat_audio/MYNBYT/T1/chunk_5/118.7 to 120.2.mp3,KieuGiang,118.7,120.2,các con còn sống chung với bố mẹ.
21,./concat_audio/MYNBYT/T1/chunk_5/122.1 to 125.0.mp3,KieuGiang,122.1,125.0,thế này thì làm sao mà ở riêng được ở riêng ai quản.
22,./concat_audio/MYNBYT/T1/chunk_5/127.2 to 128.5.mp3,KieuGiang,127.2,128.5,mẹ không đồng ý cho ở riêng đâu.
23,./concat_audio/MYNBYT/T1/chunk_5/147.6 to 150.4.mp3,LeThoa,147.6,150.4,mẹ cũng luôn tìm mọi lý do để không hài lòng về việc đó.
24,./concat_audio/MYNBYT/T1/chunk_5/167.8 to 171.9.mp3,KieuGiang,167.8,171.9,thế khảnh ơi có chiều vợ con thế này thì hỏng hết gia đình thôi con ơi.
25,./concat_audio/MYNBYT/T1/chunk_5/179.9 to 181.0.mp3,KieuGiang,179.9,181.0,chả có đến bao giờ nữa.
