,audio_path,model_label,start,end,script
0,./concat_audio/MYNBYT/T1/chunk_1/4.5 to 9.4.mp3,NgocQuan,4.5,9.4,ờ đêm nay tao phải chạy đết lai nên chắc là về muộn nếu mà có gì mà hân say quá thì mày đưa hân về nhá.
1,./concat_audio/MYNBYT/T1/chunk_1/10.4 to 11.7.mp3,NgocQuan,10.4,11.7,biết rồi yên tâm.
2,./concat_audio/MYNBYT/T1/chunk_1/13.0 to 14.1.mp3,NgocQuan,13.0,14.1,nó là chiến hữu của tao hả.
3,./concat_audio/MYNBYT/T1/chunk_1/53.1 to 54.5.mp3,NgocQuan,53.1,54.5,long cả hai nhi về nhà rồi đấy này.
4,./concat_audio/MYNBYT/T1/chunk_1/60.7 to 62.7.mp3,LeThoa,60.7,62.7,chồng ai cho chồng nó ngã.
5,./concat_audio/MYNBYT/T1/chunk_1/93.5 to 94.9.mp3,NgocQuan,93.5,94.9,cụ mới chụp ảnh để báo cáo chồng mới đấy.
6,./concat_audio/MYNBYT/T1/chunk_1/164.2 to 166.7.mp3,LeThoa,164.2,166.7,chào bạn ạ.
7,./concat_audio/MYNBYT/T1/chunk_1/182.6 to 184.4.mp3,KieuGiang,182.6,184.4,tức là có gọi để quản lí đúng không.
8,./concat_audio/MYNBYT/T1/chunk_1/186.3 to 188.0.mp3,DucAnh,186.3,188.0,gọi để nhắc em là nhớ quá cửa.
9,./concat_audio/MYNBYT/T1/chunk_1/269.3 to 271.5.mp3,KieuGiang,269.3,271.5,cô vào sài gòn mấy ngày có chuyện gia đình thôi.
