audio_path,diary_label,model_label,start,end,score,verified
../../data/split_diary/MYNBYT/T1/chunk_1/1.4 1.9 SPEAKER_02.wav,SPEAKER_02,BichNgoc,1.4,1.9,0.139093816280365,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/4.5 6.4 SPEAKER_02.wav,SPEAKER_02,DucAnh,4.5,6.4,0.33042484521865845,tensor([True])
../../data/split_diary/MYNBYT/T1/chunk_1/7.1 9.4 SPEAKER_02.wav,SPEAKER_02,DucAnh,7.1,9.4,0.2861638367176056,tensor([True])
../../data/split_diary/MYNBYT/T1/chunk_1/10.4 11.7 SPEAKER_01.wav,SPEAKER_01,BichNgoc,10.4,11.7,0.13367272913455963,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/13.0 14.1 SPEAKER_01.wav,SPEAKER_01,BichNgoc,13.0,14.1,0.14082227647304535,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/14.5 15.6 SPEAKER_04.wav,SPEAKER_04,DucAnh,14.5,15.6,0.17207132279872894,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/40.9 42.1 SPEAKER_03.wav,SPEAKER_03,BichNgoc,40.9,42.1,0.17893469333648682,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/49.1 51.8 SPEAKER_01.wav,SPEAKER_01,BichNgoc,49.1,51.8,0.1108374372124672,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/53.1 54.5 SPEAKER_01.wav,SPEAKER_01,BichNgoc,53.1,54.5,0.13339348137378693,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/60.7 62.7 SPEAKER_04.wav,SPEAKER_04,BichNgoc,60.7,62.7,0.15188679099082947,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/73.6 75.8 SPEAKER_03.wav,SPEAKER_03,DucAnh,73.6,75.8,0.1082453653216362,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/93.5 94.9 SPEAKER_01.wav,SPEAKER_01,DucAnh,93.5,94.9,0.1586264967918396,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/96.4 97.4 SPEAKER_04.wav,SPEAKER_04,DucAnh,96.4,97.4,0.07439704984426498,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/102.4 104.1 SPEAKER_04.wav,SPEAKER_04,BichNgoc,102.4,104.1,0.2437238246202469,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/137.6 139.4 SPEAKER_04.wav,SPEAKER_04,DucAnh,137.6,139.4,0.2026151418685913,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/147.5 155.9 SPEAKER_03.wav,SPEAKER_03,BichNgoc,147.5,155.9,0.16704951226711273,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/164.2 166.7 SPEAKER_04.wav,SPEAKER_04,BichNgoc,164.2,166.7,0.18293257057666779,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/169.6 170.7 SPEAKER_04.wav,SPEAKER_04,DucAnh,169.6,170.7,0.04233832284808159,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/177.4 179.4 SPEAKER_04.wav,SPEAKER_04,BichNgoc,177.4,179.4,0.06282570213079453,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/180.8 182.2 SPEAKER_02.wav,SPEAKER_02,DucAnh,180.8,182.2,0.24291445314884186,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/182.6 184.4 SPEAKER_04.wav,SPEAKER_04,BichNgoc,182.6,184.4,-0.01208890974521637,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/186.3 188.0 SPEAKER_02.wav,SPEAKER_02,DucAnh,186.3,188.0,0.3341442346572876,tensor([True])
../../data/split_diary/MYNBYT/T1/chunk_1/195.0 196.9 SPEAKER_04.wav,SPEAKER_04,DucAnh,195.0,196.9,-0.01228953618556261,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/245.9 248.7 SPEAKER_03.wav,SPEAKER_03,DucAnh,245.9,248.7,0.01057510543614626,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/269.3 271.5 SPEAKER_00.wav,SPEAKER_00,BichNgoc,269.3,271.5,0.18991415202617645,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/272.9 279.7 SPEAKER_02.wav,SPEAKER_02,DucAnh,272.9,279.7,0.26733294129371643,tensor([True])
../../data/split_diary/MYNBYT/T1/chunk_1/280.1 283.0 SPEAKER_02.wav,SPEAKER_02,DucAnh,280.1,283.0,0.22817450761795044,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/288.1 289.4 SPEAKER_00.wav,SPEAKER_00,BichNgoc,288.1,289.4,0.20318417251110077,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/290.3 294.5 SPEAKER_00.wav,SPEAKER_00,BichNgoc,290.3,294.5,0.1957993507385254,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_1/295.4 300.0 SPEAKER_00.wav,SPEAKER_00,BichNgoc,295.4,300.0,0.21013613045215607,tensor([False])
