audio_path,diary_label,model_label,start,end,score,verified
../../data/split_diary/MYNBYT/T1/chunk_3/1.8 6.1 SPEAKER_03.wav,SPEAKER_03,DucAnh,1.8,6.1,0.13933596014976501,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/7.5 10.1 SPEAKER_03.wav,SPEAKER_03,DucAnh,7.5,10.1,0.17252160608768463,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/15.4 20.1 SPEAKER_03.wav,SPEAKER_03,DucAnh,15.4,20.1,0.19038182497024536,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/27.1 28.4 SPEAKER_00.wav,SPEAKER_00,DucAnh,27.1,28.4,-0.007994510233402252,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/31.8 33.9 SPEAKER_00.wav,SPEAKER_00,DucAnh,31.8,33.9,0.07080037146806717,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/35.8 39.0 SPEAKER_00.wav,SPEAKER_00,DucAnh,35.8,39.0,0.0755898728966713,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/49.2 58.0 SPEAKER_00.wav,SPEAKER_00,DucAnh,49.2,58.0,0.09032395482063293,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/61.6 63.3 SPEAKER_00.wav,SPEAKER_00,DucAnh,61.6,63.3,0.04485875740647316,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/79.2 80.5 SPEAKER_00.wav,SPEAKER_00,DucAnh,79.2,80.5,0.24744439125061035,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/83.9 87.1 SPEAKER_00.wav,SPEAKER_00,BichNgoc,83.9,87.1,0.14251314103603363,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/88.6 89.7 SPEAKER_03.wav,SPEAKER_03,BichNgoc,88.6,89.7,0.054312046617269516,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/92.9 94.0 SPEAKER_03.wav,SPEAKER_03,DucAnh,92.9,94.0,0.17526619136333466,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/96.5 97.5 SPEAKER_03.wav,SPEAKER_03,DucAnh,96.5,97.5,0.23429834842681885,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/99.0 106.5 SPEAKER_03.wav,SPEAKER_03,DucAnh,99.0,106.5,0.2874985933303833,tensor([True])
../../data/split_diary/MYNBYT/T1/chunk_3/110.7 112.0 SPEAKER_03.wav,SPEAKER_03,DucAnh,110.7,112.0,0.19454991817474365,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/120.5 121.9 SPEAKER_03.wav,SPEAKER_03,BichNgoc,120.5,121.9,0.1233147457242012,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/122.7 125.6 SPEAKER_03.wav,SPEAKER_03,DucAnh,122.7,125.6,0.20524103939533234,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/130.8 132.1 SPEAKER_03.wav,SPEAKER_03,DucAnh,130.8,132.1,0.09062967449426651,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/143.4 144.5 SPEAKER_03.wav,SPEAKER_03,DucAnh,143.4,144.5,0.16430406272411346,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/169.4 171.3 SPEAKER_00.wav,SPEAKER_00,DucAnh,169.4,171.3,0.09711190313100815,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/208.1 209.5 SPEAKER_02.wav,SPEAKER_02,DucAnh,208.1,209.5,0.10819464176893234,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_3/212.6 214.3 SPEAKER_01.wav,SPEAKER_01,BichNgoc,212.6,214.3,0.16419772803783417,tensor([False])
